Color Name,R;G;B Dec,RGB Hex
gray,84;84;84,545454
gray,192;192;192,C0C0C0
gray,190;190;190,BEBEBE
gray,211;211;211,D3D3D3
gray,119;136;153,778899
gray,112;128;144,708090
gray,198;226;255,C6E2FF
gray,185;211;238,B9D3EE
gray,159;182;205,9FB6CD
gray,108;123;139,6C7B8B
black,0;0;0,0
black,0;0;0,0
black,3;3;3,30303
black,5;5;5,50505
black,8;8;8,80808
black,10;10;10,0A0A0A
black,13;13;13,0D0D0D
black,15;15;15,0F0F0F
black,18;18;18,121212
black,20;20;20,141414
black,23;23;23,171717
black,26;26;26,1A1A1A
black,28;28;28,1C1C1C
black,31;31;31,1F1F1F
gray,33;33;33,212121
gray,36;36;36,242424
gray,38;38;38,262626
gray,41;41;41,292929
gray,43;43;43,2B2B2B
gray,46;46;46,2E2E2E
gray,48;48;48,303030
gray,51;51;51,333333
gray,54;54;54,363636
gray,56;56;56,383838
gray,59;59;59,3B3B3B
gray,61;61;61,3D3D3D
gray,64;64;64,404040
gray,66;66;66,424242
gray,69;69;69,454545
gray,71;71;71,474747
gray,74;74;74,4A4A4A
gray,77;77;77,4D4D4D
gray,79;79;79,4F4F4F
gray,82;82;82,525252
gray,84;84;84,545454
gray,87;87;87,575757
gray,89;89;89,595959
gray,92;92;92,5C5C5C
gray,94;94;94,5E5E5E
gray,97;97;97,616161
gray,99;99;99,636363
gray,102;102;102,666666
gray,105;105;105,696969
gray,107;107;107,6B6B6B
gray,110;110;110,6E6E6E
gray,112;112;112,707070
gray,115;115;115,737373
gray,117;117;117,757575
gray,120;120;120,787878
gray,122;122;122,7A7A7A
gray,125;125;125,7D7D7D
gray,127;127;127,7F7F7F
gray,130;130;130,828282
gray,133;133;133,858585
gray,135;135;135,878787
gray,138;138;138,8A8A8A
gray,140;140;140,8C8C8C
gray,143;143;143,8F8F8F
gray,145;145;145,919191
gray,148;148;148,949494
gray,150;150;150,969696
gray,153;153;153,999999
gray,156;156;156,9C9C9C
gray,158;158;158,9E9E9E
gray,161;161;161,A1A1A1
gray,163;163;163,A3A3A3
gray,166;166;166,A6A6A6
gray,168;168;168,A8A8A8
gray,171;171;171,ABABAB
gray,173;173;173,ADADAD
gray,176;176;176,B0B0B0
gray,179;179;179,B3B3B3
gray,181;181;181,B5B5B5
gray,184;184;184,B8B8B8
gray,186;186;186,BABABA
gray,189;189;189,BDBDBD
gray,191;191;191,BFBFBF
gray,194;194;194,C2C2C2
gray,196;196;196,C4C4C4
gray,199;199;199,C7C7C7
gray,201;201;201,C9C9C9
gray,204;204;204,CCCCCC
gray,207;207;207,CFCFCF
gray,209;209;209,D1D1D1
gray,212;212;212,D4D4D4
gray,214;214;214,D6D6D6
gray,217;217;217,D9D9D9
gray,219;219;219,DBDBDB
gray,222;222;222,DEDEDE
gray,224;224;224,E0E0E0
gray,227;227;227,E3E3E3
gray,229;229;229,E5E5E5
gray,232;232;232,E8E8E8
gray,235;235;235,EBEBEB
gray,237;237;237,EDEDED
gray,240;240;240,F0F0F0
gray,242;242;242,F2F2F2
White,245;245;245,F5F5F5
White,247;247;247,F7F7F7
White,250;250;250,FAFAFA
White,252;252;252,FCFCFC
White,255;255;255,FFFFFF
gray,47;79;79,2F4F4F
gray,84;84;84,545454
gray,205;205;205,CDCDCD
